"job_id","job_title","job_location","job_posted_date","company","avg_yearly_salary"
763041,"SQL Developer","Russia","2023-12-06","SmartBrain","320000.0"
534922,"Staff Software Engineer - Data Science","New York, NY","2023-08-07","Datadog","267000.0"
1601110,"Staff Software Engineer - MLOps","Sydney NSW, Australia","2023-07-06","Rokt","257500.0"
705191,"Staff Software Engineer - Core-Simulator and Autonomy Metrics","Mountain View, CA","2023-04-20","Aurora Innovation","245500.0"
303972,"Staff Fullstack Engineer, Airfam Products","United States","2023-03-29","Airbnb","217500.0"
855419,"Software Engineer, Autonomy Data Visualization","United States","2023-07-04","Nuro, Inc.","208500.0"
334637,"Software Engineer: Stream Processing","Zürich, Switzerland (+1 other)","2023-02-02","Observe","206000.0"
136671,"Software Engineer, Machine Learning Platform","San Jose, CA","2023-02-02","Zscaler","206000.0"
365528,"Engineering","Anywhere","2023-10-05","Huckleberry Labs","205000.0"
1202421,"Computer Vision Engineer","Spain","2023-12-15","Atos","205000.0"
